datetime,open,high,low,close,volume
2022-04-07 00:00,445.59,450.69,443.53,445.01,78097200.00
2022-04-08 00:00,447.97,450.63,445.94,443.82,79272700.00
2022-04-11 00:00,444.11,445.00,439.39,436.24,89770500.00
2022-04-12 00:00,443.08,445.75,436.65,434.62,84363600.00
2022-04-13 00:00,438.03,444.11,437.84,439.60,74070400.00
2022-04-14 00:00,443.55,444.73,437.68,434.12,97869500.00
2022-04-18 00:00,436.81,439.75,435.61,434.30,66002500.00
2022-04-19 00:00,437.86,445.80,437.68,441.31,77821000.00
2022-04-20 00:00,446.92,447.57,443.48,440.99,65224400.00
2022-04-21 00:00,448.54,450.01,437.10,434.39,85417300.00
2022-04-22 00:00,436.91,438.08,425.44,422.47,132471800.00
2022-04-25 00:00,423.67,428.69,418.84,424.92,119647700.00
2022-04-26 00:00,425.83,426.04,416.07,412.62,103996300.00
2022-04-27 00:00,417.24,422.92,415.01,413.78,122030000.00
2022-04-28 00:00,422.29,429.64,417.60,424.23,105449100.00
2022-04-29 00:00,423.59,425.87,411.21,408.55,145491100.00
2022-05-02 00:00,412.07,415.92,405.02,411.01,158312500.00
2022-05-03 00:00,415.01,418.93,413.36,412.89,100028200.00
2022-05-04 00:00,417.08,429.66,413.71,425.47,144247900.00
2022-05-05 00:00,424.55,425.00,409.44,410.34,172929100.00
2022-05-06 00:00,411.10,414.80,405.73,407.90,151770800.00
2022-05-09 00:00,405.10,406.41,396.50,394.84,155586100.00
2022-05-10 00:00,404.49,406.08,394.82,395.75,132497200.00
2022-05-11 00:00,398.07,404.04,391.96,389.46,142361000.00
2022-05-12 00:00,389.37,395.80,385.15,389.05,125090800.00
2022-05-13 00:00,396.71,403.18,395.61,398.36,104174400.00
2022-05-16 00:00,399.98,403.97,397.60,396.74,78622400.00
2022-05-17 00:00,406.53,408.57,402.58,404.90,83029700.00
2022-05-18 00:00,403.50,403.80,390.55,388.58,117674500.00
2022-05-19 00:00,388.62,394.14,387.11,386.20,98510700.00
2022-05-20 00:00,393.25,397.03,380.54,386.37,131432200.00
2022-05-23 00:00,392.83,397.73,390.38,393.60,76414900.00
2022-05-24 00:00,392.56,395.15,386.96,390.59,91448800.00
2022-05-25 00:00,392.31,399.45,391.89,394.04,91472900.00
2022-05-26 00:00,398.67,407.04,398.45,401.92,82168300.00
2022-05-27 00:00,407.91,415.38,407.70,411.78,84768700.00
2022-05-31 00:00,413.55,416.46,410.03,409.47,95937000.00
2022-06-01 00:00,415.17,416.24,406.93,406.16,86585800.00
2022-06-02 00:00,409.42,417.44,407.04,413.89,79609600.00
2022-06-03 00:00,412.40,414.04,409.51,407.10,71874300.00
2022-06-06 00:00,414.78,416.61,410.55,408.34,57508900.00
2022-06-07 00:00,408.10,416.22,407.61,412.26,59272400.00
2022-06-08 00:00,413.93,415.82,410.38,407.78,64350000.00
2022-06-09 00:00,409.34,411.74,401.44,398.08,86289800.00
2022-06-10 00:00,394.88,395.78,389.75,386.54,132893900.00
2022-06-13 00:00,379.85,381.81,373.30,371.86,170004900.00
2022-06-14 00:00,376.85,377.94,370.59,370.74,104011800.00
2022-06-15 00:00,377.36,383.90,372.12,376.02,125666800.00
2022-06-16 00:00,370.51,370.94,364.08,363.58,134473300.00
2022-06-17 00:00,365.51,369.38,362.17,364.36,111113900.00
2022-06-21 00:00,371.89,376.53,371.81,373.54,76811900.00
2022-06-22 00:00,370.62,378.72,370.18,372.86,90059400.00
2022-06-23 00:00,376.64,378.83,372.89,376.51,79292100.00
2022-06-24 00:00,381.40,390.09,381.37,388.48,98050300.00
2022-06-27 00:00,391.05,391.36,387.44,387.00,66009600.00
2022-06-28 00:00,390.23,393.16,380.53,379.09,86548900.00
2022-06-29 00:00,381.23,382.27,378.42,378.78,65676000.00
2022-06-30 00:00,376.24,380.66,372.56,375.71,112508300.00
2022-07-01 00:00,376.56,381.70,373.80,379.68,74839700.00
2022-07-05 00:00,375.88,381.98,372.90,380.40,81438000.00
2022-07-06 00:00,382.11,385.87,379.60,381.68,70426200.00
2022-07-07 00:00,385.12,389.83,383.27,387.40,64525900.00
2022-07-08 00:00,387.27,390.64,385.66,387.08,72397800.00
2022-07-11 00:00,385.85,386.87,383.50,382.66,58366900.00
2022-07-12 00:00,383.65,386.16,378.99,379.27,62219200.00
2022-07-13 00:00,375.10,381.92,374.66,377.28,84224600.00
2022-07-14 00:00,373.61,379.05,371.04,376.36,89704800.00
2022-07-15 00:00,382.55,385.25,380.54,383.55,79060400.00
2022-07-18 00:00,388.38,389.09,380.66,380.39,63203600.00
2022-07-19 00:00,386.08,392.87,385.39,390.67,78506000.00
2022-07-20 00:00,392.47,396.26,391.03,393.15,71843800.00
2022-07-21 00:00,394.16,398.84,391.63,397.16,64903900.00
2022-07-22 00:00,398.92,400.18,392.75,393.47,72197300.00
2022-07-25 00:00,395.75,396.47,393.21,393.95,53631500.00
2022-07-26 00:00,393.84,394.06,389.95,389.29,52946400.00
2022-07-27 00:00,394.36,402.88,394.05,399.40,82342100.00
2022-07-28 00:00,401.89,406.80,398.15,404.41,73966600.00
2022-07-29 00:00,407.58,413.03,406.77,410.30,87003700.00
2022-08-01 00:00,409.15,413.41,408.40,409.09,69997500.00
2022-08-02 00:00,409.12,413.00,406.82,406.39,63435400.00
2022-08-03 00:00,410.30,415.68,410.00,412.75,67820600.00
2022-08-04 00:00,414.37,415.09,412.44,412.48,45656600.00
2022-08-05 00:00,409.66,414.15,409.60,411.78,56814900.00
2022-08-08 00:00,415.25,417.62,411.83,411.30,53886100.00
2022-08-09 00:00,412.22,412.75,410.22,409.67,44931800.00
2022-08-10 00:00,418.78,420.14,416.72,418.27,68665700.00
2022-08-11 00:00,422.99,424.95,419.21,418.27,59489700.00
2022-08-12 00:00,422.03,427.21,421.03,425.35,61694500.00
2022-08-15 00:00,424.77,429.41,424.71,427.11,54048300.00
2022-08-16 00:00,427.73,431.73,426.88,427.94,59289000.00
2022-08-17 00:00,425.91,429.50,424.54,424.90,63563400.00
2022-08-18 00:00,426.86,428.61,425.50,426.14,49023200.00
2022-08-19 00:00,424.98,425.26,421.22,420.41,68016900.00
2022-08-22 00:00,417.05,417.23,412.40,411.66,77695600.00
2022-08-23 00:00,412.90,415.42,411.77,410.66,49105200.00
2022-08-24 00:00,412.11,415.11,411.39,411.98,49177800.00
2022-08-25 00:00,415.24,419.56,414.09,417.79,50942300.00
2022-08-26 00:00,419.39,419.96,405.25,403.65,103087000.00
2022-08-29 00:00,402.20,405.84,401.20,400.98,65370800.00
2022-08-30 00:00,403.85,404.10,396.00,396.58,85652400.00
2022-08-31 00:00,399.93,401.24,395.04,393.56,76029700.00
2022-09-01 00:00,392.89,396.78,390.04,394.80,78740100.00
2022-09-02 00:00,400.28,401.56,390.33,390.64,99574100.00
2022-09-06 00:00,393.13,394.12,388.42,389.16,76637400.00
2022-09-07 00:00,390.43,398.59,390.20,396.15,70964200.00
2022-09-08 00:00,395.39,400.86,394.12,398.74,80821700.00
2022-09-09 00:00,402.74,407.51,402.46,404.94,76618100.00
2022-09-12 00:00,408.78,411.73,408.46,409.29,69256300.00
2022-09-13 00:00,401.83,403.10,391.92,391.49,122947100.00
2022-09-14 00:00,394.47,396.20,391.12,392.99,85023700.00
2022-09-15 00:00,392.96,395.96,388.78,388.52,87633800.00
2022-09-16 00:00,384.14,386.25,382.11,385.56,102806100.00
2022-09-19 00:00,382.26,388.55,382.18,388.55,73278500.00
2022-09-20 00:00,385.06,386.12,381.20,384.09,77274900.00
2022-09-21 00:00,386.11,389.31,377.38,377.39,106746600.00
2022-09-22 00:00,376.58,378.30,373.44,374.22,89472600.00
2022-09-23 00:00,370.58,370.62,363.29,367.95,122210100.00
2022-09-26 00:00,366.41,370.21,363.03,364.31,92581200.00
2022-09-27 00:00,368.02,370.40,360.87,363.38,108294100.00
2022-09-28 00:00,364.38,372.30,362.60,370.53,110802200.00
2022-09-29 00:00,366.81,367.11,359.70,362.79,112952300.00
2022-09-30 00:00,361.80,365.91,357.04,357.18,153396100.00
2022-10-03 00:00,361.08,368.55,359.21,366.61,89756500.00
2022-10-04 00:00,372.40,378.00,366.57,377.97,103602800.00
2022-10-05 00:00,373.39,379.46,370.95,377.09,88065700.00
2022-10-06 00:00,375.62,378.72,372.68,373.20,82333500.00
2022-10-07 00:00,368.97,373.29,360.94,362.79,107680800.00
2022-10-10 00:00,363.96,364.21,357.67,360.02,76042800.00
2022-10-11 00:00,358.24,363.03,355.71,357.74,92482800.00
2022-10-12 00:00,358.17,359.82,356.30,356.56,76991800.00
2022-10-13 00:00,349.21,367.51,348.11,365.97,147254500.00
2022-10-14 00:00,368.55,370.26,356.96,357.63,123625000.00
2022-10-17 00:00,364.01,367.98,357.28,366.82,93168200.00
2022-10-18 00:00,375.13,375.45,367.52,371.13,97162900.00
2022-10-19 00:00,368.99,371.85,365.55,368.50,79746900.00
2022-10-20 00:00,368.03,372.67,364.61,365.41,88283100.00
2022-10-21 00:00,365.12,374.80,363.54,374.29,130897700.00
2022-10-24 00:00,375.89,380.06,373.11,378.87,85436900.00
2022-10-25 00:00,378.79,385.25,378.67,384.92,78846300.00
2022-10-26 00:00,381.62,387.58,381.35,382.02,104087300.00
2022-10-27 00:00,383.07,385.00,379.33,379.98,81971800.00
2022-10-28 00:00,379.87,389.52,379.68,389.02,100302000.00
2022-10-31 00:00,386.44,388.40,385.26,386.21,96631300.00
2022-11-01 00:00,390.14,390.39,383.29,384.52,85407600.00
2022-11-02 00:00,383.90,388.63,374.76,374.87,126990400.00
2022-11-03 00:00,371.47,374.20,368.79,371.01,87100100.00
2022-11-04 00:00,377.00,378.87,370.00,376.35,103449600.00
